"Part Number","Noun","Kit Name","Manufacturer","State Status","Current Status","Remarks","Form 48 Number","Die Required","Die Number","Shop Name","Updated By","Updated At","History"
"Q/J10-0049-3/1Q/611S-89-3","Bolt (Rec'D From Log)","Kit B","Machine shop","Part Trial Testing","NEW drawings h/o to machine shop 13-02-25","sd","WLOGTF060620220016","true","ada","JF-17 MRO","Abdullah","2025-01-14T22:27:50.826Z","1"
"Q/J10-0049-2/1Q/611S-89-2","Bolt","Kit B","Machine shop","Part Trial Testing","NEW drawings h/o to machine shop 13-02-25","","WLOGTF060620220015","false","","JF-17 MRO","Abdullah","2025-01-14T22:27:50.826Z","1"
"Q/611S-97-4X9","Special Rivets","Kit B","Machine Shop","MCL","UNSAT 06-02-25","","WLOGTF211020210008","false","","STRUCTURE JF-17 MRO","Abdullah","2025-01-14T22:27:50.826Z","1"
"Q/611S-97-4X11","Special Rivets (Log)","Kit B","Machine Shop","MCL","UNSAT 06-02-25","","WLOGTF010220220018","false","","STRUCTURE JF-17 MRO","Abdullah","2025-01-14T22:27:50.826Z","1"
"Q/611S-97-4X10","Special Rivets","Kit B","Machine Shop","MCL","UNSAT 06-02-25","","WLOGTF110320210391","false","","SRF JF-17 MRO","Abdullah","2025-01-14T22:27:50.826Z","1"
"Q/611598MJ6X1","Nut","Kit B","Machine Shop","Part Under TF","HT 27-02-25","","WLOGTF160620220028","false","","JF-17 MRO","Abdullah","2025-01-14T22:27:50.826Z","1"
"HB6746-4X8","Special Rivets (Log)","Kit B","Machine Shop","MCL","UNSAT 06-02-25","","WLOGTF010220220014","false","","STRUCTURE JF-17 MRO","Abdullah","2025-01-14T22:27:50.826Z","1"
"HB6746-4X16","Special Rivets (Log)","Kit B","Machine Shop","MCL","UNSAT 06-02-25","","WLOGTF291120210017","false","","STRUCTURE JF-17 MRO","Abdullah","2025-01-14T22:27:50.826Z","1"
"HB6746-4X14","Special Rivets (Log)","Kit B","","MCL","MCL Feb","","","false","","STRUCTURE JF-17 MRO","Abdullah","2025-01-14T22:27:50.826Z","1"
"HB6746-4X12","Special Rivets (Log)","Kit B","","MCL","MCL Feb","","","false","","STRUCTURE JF-17 MRO","Abdullah","2025-01-14T22:27:50.826Z","1"
"HB6746-4X10","Special Rivets (Log)","Kit B","","MCL","MCL Feb","","","false","","STRUCTURE JF-17 MRO","Abdullah","2025-01-14T22:27:50.827Z","1"
"HB6423MJ22X1.5","Nut","Kit B","Machine Shop","Part Under TF","Awt Tool","","WLOGTF080520190039","false","","JF-17 MRO","Abdullah","2025-01-14T22:27:50.827Z","1"
"HB6420MJ24X2","Nut","Kit B","","MCL","MCL Feb","","","false","","GOH JF-17 MRO","Abdullah","2025-01-14T22:27:50.827Z","1"
"HB6240MJ24X2","Nut","Kit B","","MCL","Area Unknown","","","false","","JF-17 MRO","Abdullah","2025-01-14T22:27:50.827Z","1"
"GJB122.6.1.8X68X3.5","Bolt (Rec'D From Log)","Kit B","","MCL","Area Unknown","","","false","","JF-17 MRO GOH","Abdullah","2025-01-14T22:27:50.827Z","1"
"GJB121.5.1.6X20X3MJ","Bolt","Kit B","","MCL","MCL Feb","","","false","","JF-17 MRO","Abdullah","2025-01-14T22:27:50.827Z","1"
"DD-FC1-77011-1202","Joint","Kit B","","MCL","Area Unknown","","","false","","JF-17 MRO","Abdullah","2025-01-14T22:27:50.827Z","1"
"DD-FC1-68074-1220","Landing Light Clamp","Kit B","S M  Shop","Part Trial Testing","Rework 07-2-25 (U/DWG 03/03/25)","","WLOGTF030820220007","false","","CONT & MECH PART JF-17","Abdullah","2025-01-14T22:27:50.827Z","1"
"DD-FC1-68074-1210","Clamp","Kit B","S M  Shop","Part Trial Testing","Rework 07-2-25 (U/DWG 03/03/25)","","WLOGTF280220220018","false","","CONT & MECH PART JF-17","Abdullah","2025-01-14T22:27:50.827Z","1"
"DD-FC1-62021-4","Three Way Joint","Kit B","PMC Shop","Part Under TF","Part under TF","","WLOGTF180120210007","false","","CONT & MECH PART JF-17","Abdullah","2025-01-14T22:27:50.827Z","1"
"DD-FC1-61052-150","Clamp","Kit B","S M Shop","Part Trial Testing","MISPLACE 07-02-25","","WLOGTF280220220020","false","","STRUCTURE JF-17 MRO","Abdullah","2025-01-14T22:27:50.828Z","1"
