Sno,partNumber,noun,kitName,stateStatus,currentStatus,manufacturer,form48number,userName,dieNumber,remarks
1,Q/J10-0049-3/1Q/611S-89-3,Bolt (Rec'D From Log),Kit B,Part Trial Testing,NEW drawings h/o to machine shop 13-02-25,Machine shop,WLOGTF060620220016,JF-17 MRO,ada,sd
2,Q/J10-0049-2/1Q/611S-89-2,Bolt,Kit B,Part Trial Testing,NEW drawings h/o to machine shop 13-02-25,Machine shop,WLOGTF060620220015,JF-17 MRO,,
3,Q/611S-97-4X9,Special Rivets,Kit B,MCL,UNSAT 06-02-25,Machine Shop,WLOGTF211020210008,STRUCTURE JF-17 MRO,,
4,Q/611S-97-4X11,Special Rivets (Log),Kit B,MCL,UNSAT 06-02-25,Machine Shop,WLOGTF010220220018,STRUCTURE JF-17 MRO,,
5,Q/611S-97-4X10,Special Rivets,Kit B,MCL,UNSAT 06-02-25,Machine Shop,WLOGTF110320210391,SRF JF-17 MRO,,
6,Q/611598MJ6X1,Nut,Kit B,Part Under TF,HT 27-02-25,Machine Shop,WLOGTF160620220028,JF-17 MRO,,
7,HB6746-4X8,Special Rivets (Log),Kit B,MCL,UNSAT 06-02-25,Machine Shop,WLOGTF010220220014,STRUCTURE JF-17 MRO,,
8,HB6746-4X16,Special Rivets (Log),Kit B,MCL,UNSAT 06-02-25,Machine Shop,WLOGTF291120210017,STRUCTURE JF-17 MRO,,
9,HB6746-4X14,Special Rivets (Log),Kit B,MCL,MCL Feb,,,STRUCTURE JF-17 MRO,,
10,HB6746-4X12,Special Rivets (Log),Kit B,MCL,MCL Feb,,,STRUCTURE JF-17 MRO,,
11,HB6746-4X10,Special Rivets (Log),Kit B,MCL,MCL Feb,,,STRUCTURE JF-17 MRO,,
12,HB6423MJ22X1.5,Nut,Kit B,Part Under TF,Awt Tool,Machine Shop,WLOGTF080520190039,JF-17 MRO,,
13,HB6420MJ24X2,Nut,Kit B,MCL,MCL Feb,,,GOH JF-17 MRO,,
14,HB6240MJ24X2,Nut,Kit B,MCL,Area Unknown,,,JF-17 MRO,,
15,GJB122.6.1.8X68X3.5,Bolt (Rec'D From Log),Kit B,MCL,Area Unknown,,,JF-17 MRO GOH,,
16,GJB121.5.1.6X20X3MJ,Bolt,Kit B,MCL,MCL Feb,,,JF-17 MRO,,
17,DD-FC1-77011-1202,Joint,Kit B,MCL,Area Unknown,,,JF-17 MRO,,
18,DD-FC1-68074-1220,Landing Light Clamp,Kit B,Part Trial Testing,Rework 07-2-25 (U/DWG 03/03/25),S M  Shop,WLOGTF030820220007,CONT & MECH PART JF-17,,
19,DD-FC1-68074-1210,Clamp,Kit B,Part Trial Testing,Rework 07-2-25 (U/DWG 03/03/25),S M  Shop,WLOGTF280220220018,CONT & MECH PART JF-17,,
20,DD-FC1-62021-4,Three Way Joint,Kit B,Part Under TF,Part under TF,PMC Shop,WLOGTF180120210007,CONT & MECH PART JF-17,,
21,DD-FC1-61052-150,Clamp,Kit B,Part Trial Testing,MISPLACE 07-02-25,S M Shop,WLOGTF280220220020,STRUCTURE JF-17 MRO,,
22,DD-FC1-55167-8010H,Clamp,Kit B,MCL,MCL Feb,,,GOH JF-17 MRO,,
23,DD-FC1-55156-5300,Hoop,Kit B,Part Trial Testing,Rework 21-2-25 (FAI),S M  Shop,WLOGTF210320220015,CONT & MECH PART JF-17,,
24,DD-FC1-51101-2300,Bolt,Kit B,Part Trial Testing,Re-Work/Re-Mfg (HT 11/02/25),Machine Shop,WLOGTF131020210006,JF-17 MRO,,
25,DD-FC1-42034-160,Bolt,Kit B,MCL,MCL Feb,,,JF-17 MRO,,
26,DD-FC1-42034-1,Axis,Kit B,Part Under TF,Part under TF,PMC Shop,WLOGTF180420220008,JF-17 MRO,,
27,DD-FC1-42004-20,Eye Bolt,Kit B,Part Trial Testing,Re-Work/Re-Mfg (m/c lm for capability delete) Sub Jobcard raised to PMC by S/T Sami by Machine Shop 06-03-25,Machine Shop,WLOGTF110520220114,CONT & MECH PART JF-17,,
28,DD-FC1-41113-1,Bolt,Kit B,MCL,MCL Feb,,,JF-17 MRO,,
29,DD-FC1-05016-125,Screw,Kit B,MCL,MCL Feb,,,JF-17 MRO,,
30,1Q/611S-89-4(Q/J10-0049-4),Bolt (Log),Kit B,Part Trial Testing,NEW drawings h/o to machine shop 13-02-25,Machine Shop,WLOGTF111020210001,JF-17 MRO,,
31,QS101-110,Air Inlet Valve,Kit C,MCL,Awating F-022,,,AFR ACCY SHOP II,,
32,QDF10-013,Valve,Kit C,Part Trial Testing,Die rework as per sample 14-02-25,,,INSTRUMENT SHOP,,
33,KJY8A-00-4,Diaphragm,Kit C,MCL,MCL Feb,,,AFR ACCY SHOP II,,
34,19X(Z)-DG-103B-02,Rubber Ring,Kit C,Part Under TF,Die under TF 360 solution,,,ELECTRICAL SHOP,,
35,NZ35H-27-3-5080,Seal Ring,Kit C,Die Under TF,Die rework as per sample 19-02-25,,,AFR ACCY SHOP II,81-F7-69,
36,16D105-17.5-2.5-B,Seal Ring,Kit C,MCL,MCL Feb,,,AFR ACCY SHOP II,81-JF-17-234,
37,16D105-35-3.6-B,Seal Ring,Kit C,MCL,MCL Feb,,,AFR ACCY SHOP II,81-JF-17-218,
38,16D105-38.5-3-B,Seal Ring,Kit C,MCL,MCL Feb,,,AFR ACCY SHOP II,81-JF-17-232,
39,16D105-7.7-1.9-B,Seal Ring,Kit C,MCL,MCL Feb,,,AFR ACCY SHOP II,81-JF-17-218,
40,16D105-9.3-3.6-X,Seal Ring,Kit C,MCL,MCL Feb,,,AFR ACCY SHOP II,81-JF-17-232,
41,3S12.2x2-J7,Seal Ring,Kit C,MCL,MCL Feb,,,AFR ACCY SHOP II,81-JF-17-289,
42,3S60X2-J7,Seal Ring,Kit C,Die Under TF,Die rework as per sample 19-02-25,,,AFR ACCY SHOP I,81-JF-17-220,
43,3S7.5X1.5-J7,Seal Ring,Kit C,Part Under TF,"Part under TF 28/02/25, Die rework required internal dia 7.3 instead of 7.5 also burs are thick.",,WTFRP2802250082,AFR ACCY SHOP I,81-JF-17-237,
44,Q/11D-02-6-(5080-1),Seal Ring,Kit C,Part Under TF,Die not receive from 360 solutions 14-02-25,,,AFR ACCY SHOP II,81-JF-17-59,
45,QDF10-014,Valve,Kit C,MCL,SAT,R&P CoE,,INSTRUMENT SHOP,81-JF-17-380,
46,4X1X1GB1018H62M,Gasket,Kit C,MCL,SAT,S M  Shop,WTFSM1211240001,ELECTRICAL SHOP,,
47,5X3X1GB1018H62M,Gasket,Kit C,MCL,SAT,S M  Shop,WTFSM1211240003,ELECTRICAL SHOP,,
48,8X4X1GB1018H62M,Gasket,Kit C,MCL,SAT,S M  Shop,WTFSM1211240002,ELECTRICAL SHOP,,
49,QS110A-003,Head,Kit C,Part Trial Testing,H/O to user 20-02-25 Comp awt in Shop,PMC Shop,WTFPM2008240042,AFR ACCY SHOP II,,
50,QS110A-004,Pipe Joint,Kit C,MCL,MCL Feb,,,AFR ACCY SHOP II,,
51,YXF78-00-04,Valve,Kit C,MCL,MCL Feb,,,AFR ACCY SHOP II,,
52,YXF78-00-08A,Piston Rod,Kit C,Part Trial Testing,NEW drawings h/o to machine shop 21-02-25,Machine Shop,,AFR ACCY SHOP II,,
53,YLF12-00-1,Cap,Kit C,Part Under TF,TF. Under 3rd rework,Machine Shop,WLOGTF280920230006,AFR ACCY SHOP II,,
54,RL41-000-05,Adjusting Gasket,Kit C,MCL,MCL Feb,,,AFR ACCY SHOP II,,
55,19X-YXF63-02,Spring,Kit C,MCL,MCL Feb,,,AFR ACCY SHOP II,,
