tail_id,part_no,noun,nha_part_no,nha_noun,kit,goh,part_type,shop,mat,agency,arf_mcl_review,f48_no,die_no,die_type,die_status,die_agency,die_vendor,die_remarks,status_1,status_2,remarks_1
1,YDT11-1003,Pin,NULL,NULL,Kit A,NULL,,,,ARF,20SP0179N,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
2,Q/AL8.683.024,Gaskit,NULL,NULL,Kit A,NULL,,,,ARF,22RP0268N,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
3,Q/AL8.683.005,Gasket,NULL,NULL,Kit A,NULL,,,,ARF,22RP0364N,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
4,Q/611S423FDJ6B-1,Clamp,NULL,NULL,Kit A,NULL,,,,ARF,21SM0533L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
5,Q/611S422LB6B,Clamp With Pad,NULL,NULL,Kit A,NULL,,,,ARF,21SM0196N,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
6,Q/611S422LB6,Clamp With Pad,NULL,NULL,Kit A,NULL,,,,ARF,21SM0196N,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
7,Q/611S422LB4B,Clamp With Pad,NULL,NULL,Kit A,NULL,,,,ARF,21SM0529L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
8,Q/3A6-74A5X180,Earth Wire,NULL,NULL,Kit A,NULL,,,,ARF,18SM0280L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
9,Q/3A4-94J1-2,Sealing Ring,NULL,NULL,Kit A,NULL,,,,ARF,14RP0104L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
10,Q/3A4-94J1-1,Sealing Ring,NULL,NULL,Kit A,NULL,,,,ARF,14RP0103L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
11,Q/3A4-92-3,Retainer Ring,NULL,NULL,Kit A,NULL,,,,ARF,14PM0282L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
12,Q/3A4-92-1,Retainer Ring,NULL,NULL,Kit A,NULL,,,,ARF,16RP0048L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
13,Q/3A4-7J3-35.4,Rubber Sealing Ring,NULL,NULL,Kit A,NULL,,,,ARF,14RP0100L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
14,Q/3A4-7J3-33.6,Rubber Sealing Ring,NULL,NULL,Kit A,NULL,,,,ARF,99RP0282L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
15,Q/3A4-7J3-19.6,Rubber Sealing Ring,NULL,NULL,Kit A,NULL,,,,ARF,99RP0274L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
16,Q/3A4-7J3-13.6,Rubber Sealing Ring,NULL,NULL,Kit A,NULL,,,,ARF,14RP0099L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
17,Q/3A4-7J3-11.6,Rubber Sealing Ring,NULL,NULL,Kit A,NULL,,,,ARF,01RP0109L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
18,Q/3A4-7J1-74,Seal Ring,NULL,NULL,Kit A,NULL,,,,ARF,14RP0098L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
19,Q/3A4-7J1-51.4,Seal Ring,NULL,NULL,Kit A,NULL,,,,ARF,14RP0097L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
20,Q/3A4-7J1-13.6,Seal Ring,NULL,NULL,Kit A,NULL,,,,ARF,14RP0094L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
21,Q/3A4-27J3-90X4,Rubber Sealing Ring,NULL,NULL,Kit A,NULL,,,,ARF,14RP0089L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
22,Q/3A4-27J3-85X3,Seal Ring,NULL,NULL,Kit A,NULL,,,,ARF,14RP0088L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
23,Q/3A4-27J3-6X2,Rubber Sealing Ring,NULL,NULL,Kit A,NULL,,,,ARF,14RP0087L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
24,Q/3A4-27J3-55X4,Rubber Sealing Ring,NULL,NULL,Kit A,NULL,,,,ARF,14RP0086L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
25,Q/3A4-27J3-55X3,Rubber Sealing Ring,NULL,NULL,Kit A,NULL,,,,ARF,14RP0085L,,,NULL,NULL,NULL,NULL,NULL,MCL,MCL,
